"North","East","WaterSE","Code","Pt.name","VertPrec"
4099780.374,568351.378,2.131,"echo","1252",0.01412
4099780.928,568350.741,2.142,"echo","1253",0.01412
4099781.453,568350.105,2.138,"echo","1254",0.01414
4099781.272,568349.992,2.152,"echo","1256",0.01415
4099780.972,568350.358,2.144,"echo","1257",0.01416
4099780.563,568350.753,2.144,"echo","1258",0.01416
4099780.157,568351.252,2.139,"echo","1259",0.01416
4099779.842,568351.856,2.135,"echo","1260",0.01417
4099779.548,568352.542,2.16,"echo","1261",0.01418
4099779.371,568353.174,2.13,"echo","1262",0.01418
4099779.318,568353.859,2.149,"echo","1263",0.01419
4099778.978,568354.438,2.139,"echo","1264",0.01419
4099778.578,568355.044,2.13,"echo","1265",0.01419
4099778.308,568355.76,2.155,"echo","1266",0.01419
4099777.977,568356.362,2.148,"echo","1267",0.01419
4099776.558,568357.607,2.129,"echo","1270",0.01419
4099776.079,568358.078,2.138,"echo","1271",0.01419
4099775.612,568358.558,2.141,"echo","1272",0.01419
4099775.217,568359.207,2.144,"echo","1273",0.0142
4099774.962,568359.76,2.137,"echo","1274",0.0142
4099774.849,568360.178,2.146,"echo","1275",0.0142
4099774.538,568360.67,2.131,"echo","1276",0.0142
4099774.188,568361.228,2.145,"echo","1277",0.0142
4099774.019,568361.904,2.133,"echo","1278",0.0142
4099773.572,568362.547,2.156,"echo","1279",0.0142
4099773.177,568363.203,2.144,"echo","1280",0.0142
4099772.895,568364.016,2.153,"echo","1281",0.0142
4099772.763,568364.911,2.139,"echo","1282",0.0142
4099772.446,568365.676,2.134,"echo","1283",0.0142
4099772.085,568366.358,2.14,"echo","1284",0.0142
4099771.799,568367.087,2.135,"echo","1285",0.0142
4099771.553,568367.907,2.147,"echo","1286",0.0142
4099771.154,568368.557,2.136,"echo","1287",0.0142
4099770.4,568368.911,2.146,"echo","1288",0.0142
4099769.573,568368.848,2.138,"echo","1289",0.01421
4099769.176,568368.34,2.122,"echo","1290",0.01421
4099769.647,568367.834,2.128,"echo","1291",0.01421
4099770.17,568367.423,2.15,"echo","1292",0.01421
4099770.801,568367.582,2.147,"echo","1293",0.01421
4099771.127,568368.123,2.127,"echo","1294",0.01422
4099770.698,568368.668,2.125,"echo","1295",0.01422
4099770.202,568369.191,2.14,"echo","1296",0.01422
4099769.832,568369.672,2.121,"echo","1297",0.01422
4099769.784,568370.425,2.146,"echo","1298",0.01422
4099769.557,568371.154,2.136,"echo","1299",0.01422
4099769.09,568371.854,2.141,"echo","1300",0.01422
4099768.707,568372.48,2.144,"echo","1301",0.01422
4099768.548,568373.167,2.131,"echo","1302",0.01447
4099768.507,568373.896,2.118,"echo","1303",0.01422
4099768.336,568374.689,2.124,"echo","1304",0.01422
4099767.991,568375.405,2.121,"echo","1305",0.01422
4099767.413,568376.045,2.122,"echo","1306",0.01422
4099767.151,568376.816,2.141,"echo","1307",0.01421
4099766.84,568377.632,2.124,"echo","1308",0.01421
4099766.594,568379.344,2.138,"echo","1310",0.01422
4099766.531,568380.235,2.131,"echo","1311",0.01422
4099766.229,568381.085,2.121,"echo","1312",0.01422
4099765.858,568381.749,2.13,"echo","1313",0.01422
4099765.653,568382.446,2.123,"echo","1314",0.01422
4099765.212,568383.159,2.123,"echo","1315",0.01422
4099764.82,568383.916,2.141,"echo","1316",0.01422
4099764.275,568384.683,2.112,"echo","1317",0.01423
4099764.036,568385.592,2.133,"echo","1318",0.01423
4099763.934,568386.44,2.119,"echo","1319",0.01423
4099763.739,568387.196,2.109,"echo","1320",0.01422
4099763.448,568388.096,2.118,"echo","1321",0.01422
4099763.351,568388.902,2.111,"echo","1322",0.01422
4099763.351,568389.651,2.134,"echo","1323",0.01423
4099763.188,568390.474,2.122,"echo","1324",0.01244
4099762.921,568391.445,2.133,"echo","1325",0.01278
4099762.846,568392.456,2.119,"echo","1326",0.01266
4099762.711,568393.463,2.125,"echo","1327",0.01244
4099762.924,568394.394,2.127,"echo","1328",0.01267
4099763.205,568395.271,2.153,"echo","1329",0.01301
4099763.397,568396.072,2.185,"echo","1330",0.0149
4099763.382,568396.933,2.139,"echo","1331",0.01531
4099763.537,568398.784,2.128,"echo","1333",0.01591
4099763.897,568399.585,2.122,"echo","1334",0.0165
4099764.136,568400.319,2.163,"echo","1335",0.01693
4099764.363,568401.027,2.119,"echo","1336",0.017
4099764.671,568401.768,2.142,"echo","1337",0.01726
4099764.899,568402.642,2.149,"echo","1338",0.01748
4099765.506,568404.264,2.153,"echo","1340",0.0179
4099765.775,568405.057,2.129,"echo","1341",0.01814
4099765.831,568406.127,2.154,"echo","1342",0.01826
4099766.118,568407.04,2.122,"echo","1343",0.01842
4099766.259,568407.974,2.125,"echo","1344",0.01856
4099766.306,568409.192,2.106,"echo","1345",0.01869
4099766.561,568410.207,2.105,"echo","1346",0.01882
4099766.995,568411.176,2.14,"echo","1347",0.01894
4099767.61,568411.68,2.124,"echo","1348",0.01903
4099768.335,568412.047,2.121,"echo","1349",0.01912
4099769.046,568412.621,2.116,"echo","1350",0.01903
4099769.723,568413.166,2.17,"echo","1351",0.01967
4099771.049,568413.833,2.225,"echo","1353",0.01949
4099771.802,568414.122,2.176,"echo","1354",0.02633
4099772.365,568414.46,2.304,"echo","1355",0.02911
4099766.763,568426.543,2.139,"echo","1373",0.01843
4099766.212,568427.243,2.129,"echo","1374",0.01816
4099765.695,568427.9,2.139,"echo","1375",0.01799
4099765.302,568428.682,2.14,"echo","1376",0.01813
4099764.782,568429.305,2.138,"echo","1377",0.01847
4099764.116,568429.72,2.133,"echo","1378",0.01855
4099763.688,568430.134,2.153,"echo","1379",0.01849
4099762.845,568430.684,2.119,"echo","1380",0.01829
