"Pt.name","North","East","BedSE","WaterSE","Depth","Code","VertPrec"
"3591",4099761.335,568692.185,3.482,2.102,1.11,"echo",0.00801
"3592",4099761.657,568694.092,3.51,2.12,1.12,"echo",0.00802
"3593",4099762.228,568695.543,3.567,2.127,1.17,"echo",0.0079
"3594",4099762.697,568696.881,3.647,2.137,1.24,"echo",0.0079
"3595",4099762.922,568698.379,3.602,2.132,1.2,"echo",0.00789
"3596",4099763.281,568699.607,3.55,2.11,1.17,"echo",0.00789
"3597",4099763.567,568701.263,3.557,2.117,1.17,"echo",0.00789
"3598",4099764.13,568702.502,3.54,2.12,1.15,"echo",0.00789
"3599",4099764.602,568704.045,3.542,2.122,1.15,"echo",0.00789
"3600",4099765.339,568705.36,3.572,2.122,1.18,"echo",0.00799
"3601",4099766.118,568706.34,3.553,2.113,1.17,"echo",0.00789
"3602",4099766.809,568707.452,3.59,2.11,1.21,"echo",0.00789
"3603",4099767.8,568708.602,3.588,2.118,1.2,"echo",0.00789
"3604",4099768.803,568709.857,3.535,2.125,1.14,"echo",0.00789
"3605",4099769.912,568711.063,3.442,2.122,1.05,"echo",0.00789
"3606",4099770.858,568712.501,3.414,2.124,1.02,"echo",0.00789
"3607",4099771.78,568713.837,3.364,2.124,0.97,"echo",0.00789
"3608",4099772.653,568714.932,3.214,2.124,0.82,"echo",0.00789
"3609",4099773.44,568715.907,2.984,2.114,0.6,"echo",0.00788
"3610",4099774.341,568716.861,3.742,2.122,1.35,"echo",0.00788
"3611",4099774.813,568718.421,3.044,2.114,0.66,"echo",0.00788
"3612",4099775.303,568720.142,3.173,2.123,0.78,"echo",0.00788
"3613",4099776.042,568721.611,3.111,2.121,0.72,"echo",0.00796
"3614",4099776.798,568722.789,3.073,2.113,0.69,"echo",0.00788
"3615",4099777.587,568724.413,3.143,2.123,0.75,"echo",0.00788
"3616",4099778.183,568725.652,3.146,2.126,0.75,"echo",0.00797
"3617",4099779.046,568726.823,3.18,2.13,0.78,"echo",0.00805
"3618",4099779.943,568727.731,3.107,2.117,0.72,"echo",0.00809
"3619",4099780.632,568728.539,3.031,2.091,0.67,"echo",0.00811
"3620",4099781.852,568728.461,3.006,2.096,0.64,"echo",0.00813
"3621",4099782.878,568727.641,3.016,2.116,0.63,"echo",0.00814
"3622",4099783.768,568726.457,3.655,2.125,1.26,"echo",0.00816
"3623",4099784.519,568725.843,3.613,2.113,1.23,"echo",0.00818
"3624",4099784.842,568724.78,3.868,2.118,1.48,"echo",0.00781
"3625",4099784.383,568723.783,3.736,2.116,1.35,"echo",0.0079
"3626",4099783.956,568722.303,3.697,2.127,1.3,"echo",0.00804
"3627",4099783.339,568721.304,4.112,2.122,1.72,"echo",0.00801
"3628",4099782.775,568720.165,3.927,2.127,1.53,"echo",0.00803
"3629",4099781.974,568719.231,4.004,2.104,1.63,"echo",0.00823
"3630",4099781.13,568718.148,4.105,2.125,1.71,"echo",0.00821
"3631",4099780.073,568717.291,3.977,2.117,1.59,"echo",0.00803
"3632",4099779.353,568716.31,3.857,2.107,1.48,"echo",0.00819
"3633",4099778.878,568715.01,4.042,2.122,1.65,"echo",0.0078
"3634",4099778.307,568713.987,3.051,2.121,0.66,"echo",0.00781
"3635",4099777.887,568712.704,3.027,2.117,0.64,"echo",0.00792
"3636",4099777.321,568711.672,3.047,2.117,0.66,"echo",0.00782
"3637",4099776.742,568710.772,3.053,2.113,0.67,"echo",0.00792
"3638",4099776.042,568709.671,3.053,2.113,0.67,"echo",0.00799
"3639",4099775.229,568708.65,3.015,2.105,0.64,"echo",0.00801
"3640",4099774.287,568707.673,3.058,2.118,0.67,"echo",0.00816
"3641",4099773.211,568706.78,3.033,2.103,0.66,"echo",0.00788
"3642",4099772.457,568705.851,3.05,2.11,0.67,"echo",0.00777
"3643",4099771.939,568704.999,3.006,2.106,0.63,"echo",0.0079
"3644",4099771.737,568703.998,3.019,2.109,0.64,"echo",0.00779
"3645",4099771.182,568702.882,3.864,2.114,1.48,"echo",0.0078
"3646",4099770.888,568701.487,3.835,2.115,1.45,"echo",0.00781
"3647",4099770.625,568700.241,3.855,2.115,1.47,"echo",0.00781
"3648",4099770.328,568699.187,3.893,2.123,1.5,"echo",0.00793
"3649",4099770.285,568697.949,3.794,2.114,1.41,"echo",0.00799
"3650",4099769.89,568696.781,3.802,2.112,1.42,"echo",0.00804
"3651",4099769.668,568695.528,3.71,2.12,1.32,"echo",0.00813
"3652",4099769.45,568694.457,3.748,2.118,1.36,"echo",0.00814
"3653",4099769.314,568693.474,3.638,2.128,1.24,"echo",0.00794
"3654",4099769.315,568692.308,3.628,2.128,1.23,"echo",0.00795
"3655",4099769.186,568691.092,3.687,2.117,1.3,"echo",0.00815
"3656",4099769.185,568689.79,3.546,2.126,1.15,"echo",0.00846
"3657",4099769.064,568688.712,3.636,2.126,1.24,"echo",0.00818
"3658",4099768.93,568687.766,3.542,2.122,1.15,"echo",0.00818
"3659",4099768.833,568686.907,3.574,2.134,1.17,"echo",0.00831
"3660",4099768.874,568685.886,3.57,2.12,1.18,"echo",0.00852
"3661",4099768.545,568684.906,3.601,2.121,1.21,"echo",0.00824
"3662",4099768.675,568683.812,3.487,2.137,1.08,"echo",0.00825
"3663",4099768.73,568682.828,3.638,2.138,1.23,"echo",0.00826
"3664",4099768.774,568681.953,3.642,2.132,1.24,"echo",0.00845
"3665",4099769.059,568680.951,3.477,2.127,1.08,"echo",0.00867
"3666",4099769.122,568680.082,3.534,2.144,1.12,"echo",0.00833
"3667",4099769.034,568679.401,3.512,2.132,1.11,"echo",0.00871
"3668",4099768.939,568678.812,3.703,2.133,1.3,"echo",0.00838
"3669",4099769.129,568678.119,3.602,2.122,1.21,"echo",0.00829
"3670",4099769.134,568677.172,3.718,2.128,1.32,"echo",0.0083
"3671",4099769.173,568676.422,3.601,2.121,1.21,"echo",0.0083
"3672",4099769.625,568675.512,3.94,2.13,1.54,"echo",0.0083
"3673",4099769.694,568674.684,3.98,2.12,1.59,"echo",0.00842
"3674",4099769.753,568674.139,3.826,2.106,1.45,"echo",0.00831
"3675",4099769.428,568673.737,3.74,2.12,1.35,"echo",0.00831
"3676",4099769.471,568672.825,3.781,2.131,1.38,"echo",0.00842
"3677",4099769.376,568671.895,3.767,2.117,1.38,"echo",0.00831
"3678",4099769.129,568671.203,3.829,2.109,1.45,"echo",0.00849
"3679",4099768.878,568670.625,3.836,2.116,1.45,"echo",0.00832
"3680",4099768.595,568670.176,3.575,2.135,1.17,"echo",0.00832
"3681",4099768.442,568669.607,4.128,2.138,1.72,"echo",0.00801
"3682",4099767.964,568669.078,3.827,2.137,1.42,"echo",0.00802
"3683",4099767.57,568668.351,3.912,2.132,1.51,"echo",0.00814
