"North","East","BedSE","Code","Pt.name","VertPrec"
4099808.565,568746.243,2.114,"topo","505",NA
4099807.031,568749.037,2.008,"topo","506",NA
4099805.876,568751.647,1.861,"topo","507",NA
4099805.523,568752.899,1.727,"topo","508",NA
4099807.966,568753.511,1.848,"topo","509",NA
4099809.25,568751.433,1.942,"topo","510",NA
4099811.572,568748.284,2.1,"topo","511",NA
4099813.392,568745.528,2.188,"topo","512",NA
4099816.167,568743.627,2.085,"topo","513",NA
4099816.545,568745.638,2.105,"topo","514",NA
4099815.709,568748.758,2.12,"topo","515",NA
4099814.76,568751.465,2.008,"topo","516",NA
4099813.609,568754.412,1.896,"topo","517",NA
4099814.237,568757.049,1.86,"topo","518",NA
4099816.677,568757.744,1.878,"topo","519",NA
4099818.065,568754.951,1.966,"topo","520",NA
4099819.835,568751.935,2.039,"topo","521",NA
4099820.723,568749.104,2.123,"topo","522",NA
4099820.851,568746.685,2.005,"topo","523",NA
4099821.138,568744.441,2.15,"topo","524",NA
4099821.803,568746.777,1.984,"topo","526",NA
4099821.604,568751.111,2.063,"topo","527",NA
4099821.358,568755.167,1.981,"topo","528",NA
4099819.295,568758.191,1.882,"topo","529",NA
4099820.333,568760.613,1.641,"topo","530",NA
4099822.241,568759.15,1.931,"topo","531",NA
4099822.936,568756.753,1.949,"topo","532",NA
4099825.222,568754.915,1.981,"topo","533",NA
4099824.703,568751.346,2.069,"topo","534",NA
4099827.559,568750.489,1.976,"topo","535",NA
4099826.818,568748.014,2.084,"topo","536",NA
4099828.288,568748.152,2.1,"topo","538",NA
4099828.78,568749.511,2.097,"topo","539",NA
4099827.148,568752.374,2.01,"topo","540",NA
4099825.904,568756.018,2.005,"topo","541",NA
4099824.389,568759.244,1.96,"topo","542",NA
4099824.105,568761.911,1.712,"topo","543",NA
4099826.872,568762.568,1.869,"topo","544",NA
4099828.092,568759.576,1.922,"topo","545",NA
4099829.588,568756.075,2.018,"topo","546",NA
4099831.601,568754.312,1.949,"topo","547",NA
4099831.056,568751.028,2.059,"topo","548",NA
4099833.763,568751.578,2.122,"topo","549",NA
4099832.27,568754.363,1.962,"topo","551",NA
4099831.258,568758.064,1.973,"topo","552",NA
4099830.48,568761.454,1.936,"topo","553",NA
4099830.007,568764.124,1.863,"topo","554",NA
4099831.943,568765.127,1.755,"topo","555",NA
4099833.445,568762.931,1.942,"topo","556",NA
4099835.027,568760.292,1.968,"topo","557",NA
4099837.187,568758.201,1.941,"topo","558",NA
4099839.22,568756.054,2.03,"topo","559",NA
4099842.023,568756.224,1.871,"topo","560",NA
4099840.769,568760.022,1.981,"topo","561",NA
4099839.68,568763.443,1.989,"topo","562",NA
4099838.761,568766.349,1.935,"topo","563",NA
4099839.892,568768.481,1.814,"topo","564",NA
4099841.912,568768.993,1.8,"topo","565",NA
4099843.137,568765.902,1.955,"topo","566",NA
4099845.184,568762.514,1.949,"topo","567",NA
4099847.317,568758.765,1.892,"topo","568",NA
4099849.4,568759.854,1.884,"topo","569",NA
4099848.493,568763.337,1.926,"topo","570",NA
4099847.651,568766.611,1.975,"topo","571",NA
4099847.379,568769.723,1.881,"topo","572",NA
4099844.894,568770.843,1.665,"topo","573",NA
4099844.136,568773.022,1.764,"topo","574",NA
4099845.505,568771.574,1.76,"topo","575",NA
4099847.315,568768.876,1.998,"topo","576",NA
4099849.016,568765.552,1.93,"topo","577",NA
4099851.266,568762.227,1.903,"topo","578",NA
4099849.675,568757.081,2.127,"topo","580",NA
4099852.17,568761.508,1.903,"topo","582",NA
4099852.193,568764.737,1.927,"topo","583",NA
4099852.239,568768.44,2.002,"topo","584",NA
4099850.658,568770.857,1.828,"topo","585",NA
4099850.434,568773.448,2.07,"topo","586",NA
4099852.019,568776.167,1.731,"topo","587",NA
4099853.39,568773.927,2.029,"topo","588",NA
4099854.973,568771.025,2.048,"topo","589",NA
4099857.03,568767.541,1.943,"topo","590",NA
4099859.126,568764.696,1.872,"topo","591",NA
4099861.536,568762.631,1.901,"topo","592",NA
4099861.961,568765.048,1.931,"topo","594",NA
4099861.182,568768.066,1.925,"topo","595",NA
4099860.142,568772.016,2.088,"topo","596",NA
4099859.411,568775.745,1.791,"topo","597",NA
4099858.694,568777.92,2.043,"topo","598",NA
4099858.171,568780.583,1.781,"topo","599",NA
4099860.705,568777.167,1.903,"topo","600",NA
4099862.076,568774.856,2.094,"topo","601",NA
4099863.896,568771.577,2.036,"topo","602",NA
4099866.414,568767.568,1.827,"topo","603",NA
4099868.531,568767.995,1.842,"topo","604",NA
4099867.775,568770.242,1.992,"topo","605",NA
4099866.402,568773.667,2.088,"topo","606",NA
4099865.288,568777.357,2.039,"topo","607",NA
4099867.397,568781.265,1.931,"topo","608",NA
4099868.415,568779.039,2.039,"topo","609",NA
4099869.968,568775.474,2.102,"topo","610",NA
4099871.326,568772.861,2.025,"topo","611",NA
4099872.915,568769.684,1.899,"topo","612",NA
4099875.439,568781.514,2.061,"topo","613",NA
4099876.785,568780.013,2.072,"topo","614",NA
4099877.769,568777.745,2.052,"topo","615",NA
4099879.208,568775.235,1.997,"topo","616",NA
4099880.244,568772.876,1.949,"topo","617",NA
4099880.532,568770.001,1.928,"topo","618",NA
4099882.179,568770.896,1.88,"topo","619",NA
4099881.836,568774.31,1.994,"topo","620",NA
4099880.824,568777.763,2.004,"topo","621",NA
4099879.337,568781.955,2.06,"topo","622",NA
4099879.454,568783.99,2.025,"topo","623",NA
4099882.394,568784.723,1.969,"topo","624",NA
4099882.045,568781.791,2.076,"topo","625",NA
4099881.629,568778.424,2.028,"topo","626",NA
4099882.485,568775.149,1.992,"topo","627",NA
4099883.637,568772.124,1.922,"topo","628",NA
4099886.21,568771.425,1.921,"topo","629",NA
4099889.392,568772.773,1.854,"topo","631",NA
4099886.858,568774.128,1.995,"topo","632",NA
4099885.317,568778.988,1.994,"topo","633",NA
4099883.862,568783.543,2.012,"topo","634",NA
4099884.141,568786.211,1.963,"topo","635",NA
4099886.19,568787.911,1.866,"topo","636",NA
4099887.447,568784.437,2.068,"topo","637",NA
4099889.104,568780.821,1.987,"topo","638",NA
4099890.458,568777.147,1.996,"topo","639",NA
4099893.245,568775.032,1.895,"topo","640",NA
4099893.295,568776.523,1.968,"topo","641",NA
4099892.065,568779.956,1.985,"topo","642",NA
4099890.898,568782.865,1.962,"topo","643",NA
4099889.63,568785.788,2.091,"topo","644",NA
4099889.206,568788.934,1.874,"topo","645",NA
4099889.659,568790.951,1.861,"topo","646",NA
